,SerialNumber
2753,"bad data acquisistion board found in unit site Stream 1708 West Creek Chaska, MN "
2754,"bad CT strip on RPP 180-2557 site AT&T 5400 Foxridge Drive Mission, KS 66202 "
2755,Replace monitor in unit 14017001-73 
2756,Transformer failure in unit T16-50-US-S-3226. No further information has been provided 
2757,Order was entered incorrectly downstairs. Customer needs 2 RH rails to correct the issue 
2758,RPP fell over during installation creased and the door hinges are broken Pictures from customer attached 
2759,reactor failed onsite after 8 days of use 
2760,"serial # 442-0002 needs S1S2 DCPS board. PDU D (Serial Number 442-0027-4B) SAS TX2 Downî Alarm PDU I (Serial Number 442-0027-1B) SAS TX2 Downî Alarm PDU L (Serial Number 442-0059-2B) ìSAS TX3 Downî Alarm site Dell 701 E Parmer Rd Austin, TX contact Lisa Barber 512-696-9247 cell "
2761,"sales concession to return left starter rail. customer needs right starter rail site PCI One Source 21717 Republic Avenue Oak Park, MI 48237 "
2762,"Need to exchange qty 6 - rails. customer ordered 12' rails, but they need 10' rails. site Fidelity 7133 Louis Stephens Dr Morrisville, NC "
2763,"While the customer was trying to update the IP address on the STS, an output short alarm came up on the display. They set the IP address and tried to restart the display, but it instructed them to place the unit into ROI mode. They proceeded to place the unit in ROI and when they restarted the display the alarm came up. The default jumper on the back of the display was still on. It defaulted the STS. The STS then constantly transferred from S1 to S2. Customer fixed the retransferring issue by placing the unit inot ROI mode and resetting the STS. All alarms cleared and the unit was operational. But the next day they lost IP configuration again and monitor has strange characthers on the banner. site Tierpoint (formerly Cosentry) 1001 Ft Crook Road, Suite 132 Bellevue, NE "
2764,"small load was recently added and the PDU is making a noise site Nipsco 1500 E, 165th Street Hammond, IN 46320 "
2765,"unit continues to tranfer sources site Truliant 100 Truliant Way Winston Salem, NC 27103 "
2766,"Spare units were robbed of parts during startup of another suit. Site would like the units ""surveyed"" and a full list of parts that are needed to be generated "
2767,"aux contact is cracked on PDU T16-46-US-S-3151 site CyrusOne Aurora, IL "
2768,"Narrative: One of Switchís CIOPS personnel was doing a walkthrough of their critical infrastructure in the power spine and smelled burning plastic. They quickly narrowed down the source to the PDU in question. The load on the breaker was noted at 70A, the PDU was de-energized and opened up. The pictures show the DLO phase wiring from the breaker base up to the top hat to be overheating and causing melting of the plastic around the lug termination. The temperature at the time of shut down was 300F. Once the PDU cooled, the technicians tried to pull/wiggle the DLO wiring to determine if it was loose. It was not. Next, they checked torque of the mechanical lug and found that to be tight as well. They continued to dissemble the unit to remove the breaker base, snapping pictures as they did. No loose terminations on the bus or breaker base were found. However, they did check the existing bolts for their torque values and found a variety of numbers from the high 20ís to 40 ft. lbs. Picture 1: Close up of the mechanical connection from the DLO cable into the mechanical lug. Picture 2: Close up of mechanical lug where the DLO cable enters the breaker base. Picture 3: Side view of mechanical lug Picture 4: Underside of breaker base Picture 5: Underside of breaker Picture 6: View of breaker base with DLO cable removed Picture 7: Close up of effected phase prior to any work performed Picture 8: Overview of area prior to work effort Picture 9: Close up of top-hat bus connection of effected DLO cable (note the zinc coating is gone) Switch has controlled custody of the breaker and itís base and is requesting the following: 1. Have the breaker and base forensically analyzed to determine root cause of the failure. 2. Provide the published torque values for all hardware in the PDUís and RPPís so that Switch can field verify before putting units into service 3. A quote for replacement parts consisting of (2) breaker bases, (1) breaker, replacement phase wiring from CB-10A to the top hat lug with heat shrink, one hole lug, and wire ferrule installed. Thankfully they were able to take the unit down before all the smoke got let out of the wires "
2769,APC transformer burned on C Phase in the field 
2770,"instal PDU front and rear skirt assemblies on 8 PDUs. includes : front kick plate, rear kick plate, brackets and hardware. site Data Foundry 4100 Smith School Rd Austin, TX 78744 "
2771,"unit is in bypass awaiting an ICS board site Qwest (Centurylink) 1201 Farnam Omaha, NE 68102 "
2772,250A output breaker tripped during commissioning on RPP 241. 
2773,Transformer failure in AZC resulting in an Arc and burned transformer. 
2774,"punchlist items from start up TST-29-3 PDU nameplate says output current is 833a. transformer is only 75kva TST-29-2 PDU nameplate says output current is 833a. transformer is only 75kva TST-18-5 TST-18-4 TST-18-3 TST-18-2 TST-18-1 values from subfeed 1 frm EPMS match those from subfeed 3 on local HIM. calibrationon or CT rewire needed. Per John, sounds like plugged into wrong spot on subfeed resistor board. need to troubleshoot. site T5 6653 Pinecrest Dr Plano, TX "
2775,"SAS board is found to be bad in 442-0192-19 site CyrusOne 5170 Westway Park Blvd Houston, TX "
2776,monitor doesnt have power 
2777,Fiber connector broke off of SAS board 
2778,Units damaged in shipping. Note from customer: It seemed both transformers were shipped on one pallet ( not individually) ñ Also there was something stacked on the pallet and nothing was covering the transformers. Also there were fork lift damage on both units and damage were covered by stretch wrap and it seems damage went un noticed. 
2779,"unit has a SAS D SCR1 Pulse off alarm 442-0091-3B site Dell 701 E Parner Rd Austin, TX "
2780,transformer failure in AZB 
2781,"need to replace some boards -- one board is dropping out of communication and the other keeps needing to be reset Also, a display has failed. Now, 2 board led , VVIT Sensor board Also need PCB18959 Sensor strip interface serial # 112-0058 site Serverfarm Chicago, IL "
2782,Found one loose capcitor in the monitor compartment where the output DCPS and S1/S2 power supply board area. All three capacitors soldered back side of DCPS S1/S2 top board fell off. 
2783,"Floor stands were not needed on this order. per the customer, this was decided during the submittal process. Somehow they were entered and shipped anyway. "
2784,"CT strip damaged onsite. Customer would also like to rewire PDUs to allow for 208 power. the units were ordered at 480, but they do not currently have 480 power available. they would like to change the internal control wire to bypass the main transformer and feed the panels directly. "
2785,"CT strip is not working. Site is Electrico, Inc. at Fort Meade, MD. "
2786,PDU H-6. The static switch decided to go ìfull autoî and continually switch between sources. The PDU has been put into bypass (Source 2-Preferred Source). 
2787,"replace acquisition board and color display on PDU as needed for the repair 110-1236 site Geokinetics 1500 citywest Blvd suite 800 Houston, TX 77042 "
2788,Customer stated issue: a PDU output breaker on the Black system that has a C leg power fluctuation on 20-60V instead of the 120V. We have verified the line side of the breaker and the other legs to isolate it to the breaker itself. 
2789,Please see attached photos of pdu 3E4 investigate why this pdu is not reading line amps as shown in the attached picture. 
2790,"Looks like shipping damage or from the banding. Including Jason and Wayne. Amber, can you start an RMA? Thanks, Nate Thanks, Nate Carroll 804-357-8171 -----Original Message----- From: Matt Saunders [mailto:msaunders@integsystemscorp.com] Sent: Tuesday, April 24, 2018 7:01 AM To: Boyle, Patrick <patrick.boyle@pdicorp.com>; Carroll, Nathan <nathan.carroll@pdicorp.com>; Spehar, Amber <amber.spehar@pdicorp.com>; Judy Saunders <jsaunders@IntegSystemsCorp.com> Subject: Skins for Comcast Please see pics The skins are scratched and dented "
2791,"Intermittened comm on STS 2A-2 411-0317 site Data Foundry 4100 Smith School Rd Austin, TX "
2792,we had an issue last year of these PDUs where the casters fell off while they were rolling. We shipped them new casters. Now the end user is noticing a bend on one of the side cars. Unified would like to drive down and pick up new ones. I would normally push back on the customer that they should have told us a while ago.. but we hurt their floor and had PDUs stuck in their hall and it was kind of embarrassing. 
2793,"short scr alarm on PDU 41 site Wells Fargo Birmingham, AL "
2794,"swap out QTY (2) of the sidecars for SO27700. We need to have (MOD66673-XX X0 2000/2500A 30î SIDE CAR) ordered and shipped to the site and the sidecars that are currently onsite (MOD66263 X0 2000/2500A 24î SIDE CAR) picked up and returned to the factory (Santa Ana). site Winner - Facebook 13550 Park Vista Blvd suite 110 Fort Worth, TX 76177 "
2795,"Unit giving ""therm over temp"" alarm. we have previously been onsite to replace M4G board, the issue returned. this time it did not alarm and alert the staff there is an issue. the site has requested the unit to be retested and repaired in the factory. Alan Turner approved the work. "
2796,Microsoft cannot get points from units 120-0240/3 120-0240/4 Unit T15-30-US-S-2305 has a PDU Current A high alarm and PDU Current B high alarm 
2797,"part of the mast - one of the phases isnít connecting to the busway rail. Specifically, one connection arm does not swivel out A51-0603-4 site Sam Houston State Univ ITSB 2223 Avenue J Huntsville, TX 77340 "
2798,transformer failure in AZB 
2799,Transformer failure in AZA 
2800,"Five units damaged in transit T18-07-US-S-4036 bottom right panel PNL65771 bottom right cover PNL65807 left front door 97-120121-00 T18-07-US-S-4037 rear panel top PNL65383 rear panel bottom PNL65383 bottom right panel PNL65771 bottom right cover PNL65807 left front door 98-120121-00 T18-07-US-S-4039 left front door 97-120121-00 4th Unit has internal damage to bus 5th brought back for inspection site CyrusOne Allen, TX units at MEI Rigging "
2801,"4 units need new displays and other unit needs boards STS D1-2 SAT 2.1 CRAH Gallery 1 Blinking and snowy screen serial # 411-0247 Unit #11 STS B1-4 SAT 2.1 CRAH Gallery 2 Horizontal lines serial # 411-0247 Unit # 13 STS A1-2 SAT 2.2 PDU Gallery 228 snowy screen serial # 411-0247 Unit #174b STS A1-1 SAT 2.2 PDU Gallery 225 snowy screen serial # 411-0247 Unit # 52 STS 20202BP1 SAT 2.1 SAS D SCR 1 DC alarm (need SAS, DC driver and ribbon cable serial # 411-0247 Unit # 87 site CyrusOne SAT 2 9554 Westover Hills San Antonio, TX "
2802,They needed 12 FloorStands replaced. They were issued an RMA # 4796. Floorstands were the incorrect height. 
2803,"RPP has a bad display that will need to be replaced site Price Waterhouse Cooper 2480 Rock House Road Lithia Springs, GA 30122 Contact: Tom Clark 770-891-6185 "
2804,"The below list of 10 panels need to be repaired. Currently the dead front does not align with the cover; Also, STS IN GPS house in not communicating. Per PDI Tech., he need another site visit to fix the issue - This unit is purchased by ASCO. Also, during SU, following items needed: Kirk key, breaker and touch up paint "
2805,"Time: 8AM Site Address: 705 Westech Drive Norcross, GA30092 Site Contact: Chris Fusco 267-893-0939 Scope: - Installation - Setup and training on Jcomms - Travel and expenses included - Units must be accessible from all sides - Customer electrician to mount and provide power to JCOMM units (14) Jcomms; 540-0785-1-14; SO27167 "
2806,Monitor went out 
2807,Customer does not want input boxes. wants to return them 
2808,"PDU-20A4-1 serial # T15-45-US-S-2433 found a bad power supply during commissioning activities stie CyrusOne 2905 Diehl Rd Aurora, IL "
2809,"install upgrade kit adding (1) Sq D column width panelboard into existing unit to monitor (4) 100A brewakers with split core CTs. Unit must be shut down for upgrade. custom kit includes: custom JCOMM harness, 100A CT's, resistor board, BCMS board ,m ribbon cables, brackets, hardware site Digi-Keu 701 Brooks AVe S Thief River Falls, MN 56701 "
2810,Transformer fire during RPP loadbanking at Microsoft on MWW01 retrofit project. PDU AZC.ELECR1.PDUR4 SN: 110-4227-27 
2811,"inspect andepair (3) PDUs with display issues. 110-1817-5 110-1817-6 110-1817-12 site Home Depot 2455 Paces Ferry Rd SE Atlanta, GA 30339 "
2812,"customer is having communication issue due to display issues, serial # 110-4517 site Ascent suite 300 505 N Railroad Rd Northbrook IL "
2813,"During rounds there was an alarm on the display of PDU B5 indicating low output voltage on source 2. I scrolled through the digital display and verified that the S2 transformer output readings were at 0. I opened the door on the F feeder side and noticed that the source 2 input breaker was in the tripped position. The PDU display is showing S2 input voltage of 480 and also S2 input voltage available on the system status panel. The tripped input breaker is on the 480 side of the transformer so the monitoring of the input voltage must be occurring on the line side of the S2 input breaker prior to feeding the transformer. There was no alarm on the active alarm screen on continuum associated with PDU B5. I checked the PDU main power display on andover for PDU B5 and it is showing updated information of voltage and amperage and bypass status reflecting its current condition but is also flashing a loss of communication alarm. I have attached a photo of the B5 PDU info from the andover screen of its current condition. The alarm on the actual PDU display was alarm since last clear low output voltage source 2. I checked for any evidence of amperage spikes on the branch circuitry from RPP panels fed from B5 and sister B13 and none was discovered. I have placed PDU B5 in bypass on source 1. site AT&T 11830 Webb Chapel Rd Dallas, TX "
2814,"Loose breakers were not added to the sales order, as they should have been. "
2815,"1.	STS 114 is going in and out of alarm as noted below, will the STS transfer/ operate as per design if the control system (Scada) initiates a transfer of sources "
2816,Scope: To inspect STS/PDU that tripped the main breaker and dropped load; 420-0086-1-2; Building had storm troubles recently 
2817,Units power supplies failed 
2818,possible fan issue - fan is making a grinding noise site CyrusOne 11003 Corporate Center Dr Houston TX 77041 
2819,The breaker has a broken handle. We need to order them a new breaker BCB12121. 
2820,"SAS tx STS -1A-1 411-0261 Data Foundry 660 Greens Pkwy Houston, TX "
2821,"upgrade M4 PDUs to color touch and logic boards site Austin Energy - Austin 911 5010 Old Manor Rd Austin, TX "
2822,"RPP 189-0038-2 take a look at the RPP that they believe does not have accurate readings site CyrusOne 2905 Diehl Rd Aurora, IL "
2823,"incorrect fans were shipped to Citigroup. Item master had been changed and combined a couple of different fan part numbers. we did not realize it until we shipped these fans and they were the wrong ones. site Citigroup Roanoke, TX "
2824,"perform BCMS board swap on RPP site ServerCentral 350 E Cermak Chicago, IL 60616 "
2825,Horn not working on PDU screens 
2826,The wrong breaker blanking plates were quoted and ordered. Customer needed newer style. 
2827,600A sub feed breaker failed during load bank testing. Breaker tripped two times during testing. Load bank was moved to the adjacent breaker and no problems noted. PDU serial # T18-50-US-S-4667 
2828,"Troubleshoot issues 73A - display 4A - keypad 61B - baud rate 33C-display, , 3A-display 29D-display, 6C-display. 4B display 24C display 37D - breaker size 9B - BCMS board 38D -- breaker size 12A - CT strip fail site Wells Fargo 101 Leaf Lake Birmingham, AL "
2829,Replace monitor in units per PM report done by Rosa 
2830,"problem with operating the Static Switch on PDU 54. When toggling between sources there is a relatively load ìthudî noise. This cause the parent UPS to go into alarm. Attached is a picture of PDU 54 alarm log page. PDU 52 has SAS TX 2 alarm. 442-0002-6 PDU52 442-0002-5 PDU54 site Dell 1404 Park Center Austin, TX "
2831,"PDU ñ A6 and PDU ñ B4, noticed that the entire low voltage/control boards section are completely down, both PDUs are still online and supporting load. "
2832,two RPPs have bad CT strips one left and one right broken CT on each 
2833,"Wrong floor stands were ordered. customer needed 24"" stands and 42"" were ordered "
2834,"customer would like PDI to repair the possible broken mast on the TOB A51-0146-062 site BGIS / State Farm Richardson, TX "
2835,RPP screen has gone bad 
2836,"Jim wanted me to send you the following so you could do a warranty claim for the Tap off Box pictured below. The threaded shaft is too short and the tightening knob will not thread onto it. A51-0670 site NiSource 801 East 86th Avenue Merrillville, IN 46410 "
2837,Stands ordered for 30î floor. Should be adjustable above and below 30î Lowest height of Stands at site are 32î They will not fit. 
2838,"We have (4) unit substations that we are unable to read the kilowatt usage on. The power factor shows as zero (which we believe might be part of the problem) They are a model # 98-90474-00 The serial #ís are T10-05-US-S-0354, T10-05-US-S-0355, T10-05-US-S-0356, and T10-05-US-S-0357 "
2839,SAS TX2 Down alarm continious 
2840,"suspect the cables from the SAS to the S1/S2 DCPS and from the ROI to the monitor are bad. Another possibility is the monitor is not recognizing the breaker status and maintenance signals. While troubleshooting I found a fiber connector in the monitor to be excessively loose on the board site U S Steel 1 N. Broadway Gary, IN "
2841,large resistor is blown on one end. This issue was found during the PM we found an issue with the STS 442-0122-7B site Equinix 50 NE 9th Street Miami FL 33132 33132 
2842,"replace display to clear the SAS issue on this unit. 442-0098-8B site Data Foundry 4100 Smith School Rd Austin, TX "
2843,BCMS strip on the right (even) site of an RPP with a CT that came loose from the strip 
2844,31 TOB to be re-certified 
2845,"display bad in unit site CyrusOne 1649 W Frankford Rd Carrollton, TX "
2846,"STS monitor not working properly 411-0247-11 site CyrusOne 2.1 9554 Westover Hills Pkwy San Antonio, TX "
2847,Display is not functioning and needs to be replaced 
2848,"wrong board requested from customer. old board being sent back, new one being sent. "
2849,(64) BCB06441 $9.91/ea = $634.24 We apparently gave them (531) BCB06439 and (0) BCB06441 We need an RMA to exchange (64) BCB06439 for (64) BCB06441. 
2850,replace 14 grid connects in STS 
2851,We have 3 - 144î for CYS05 COLO 4 that are not megging out. We took the bus down and just megged the bus and is not working out for us. We also need 1 additional 144î strait rail for COLO 5 
2852,SO 30970 Suite F130 4 sidecar guts & 4 PDU infinity upgrade kits Electricians will be onsite Monday & Tuesday 
2853,"switch dropped a load, 420-0022-12 ( C15) Site: AT&T 11830 Webb Chapel Rd Dallas, TX 75234 "
2854,"issues found during PM 350-0179-10 2PDU-BE33B display showing random characters 350-0179-20 2PDU-CG33A phase monitor is coming out of connection. Also ASIM J1 loose 350-0179-6 2PDU-BN37A shouce 1 LED not working 350-0179-15 2PDU-CY37B LED lights are not working 350-0179-12 2PDU-AR33A source 1 LED not working 350-0179-3 2PDU-CAQ33B source 1 LED not working 350-0192-4 2PDU-EJ33A source 1 LED out site HSBC 475 Corporate Woods Pkwy Vernon Hills, IL 60061 "
2855,customer not using floorstands - returning - Does not want credit back 
2856,"unit is showing it is on source 2, but it is really on source 1 site AT&T 11830 Webb Chapel Road Dallas, TX 75234 "
2857,Upgrade 4 units to have color monitor instead of monochrome. 
2858,"customer placed the order for 2 end feeds with ABB Tmax breaker. The order form was filled out correctly, but the bill of materials was not set up properly site Source HOV 1250 W. 14 Mile Rd Troy, MI 48083 "
2859,13300214 - this were not built correctly and broke with installation 13100332 - DAMAGED IN SHIPPING 
2860,Screen not working on unit 
2861,Units were supposed to be black to match existing PDUs 
2862,"From: Matheney, David Sent: Wednesday, March 07, 2018 11:08 AM To: Spehar, Amber <amber.spehar@pdicorp.com>; Demierre, Sarah <sarah.demierre@pdicorp.com> Cc: Melton, Christopher <chris.melton@pdicorp.com>; Denholm, Kyle <kyle.denholm@pdicorp.com>; Payne, Tim <tim.payne@pdicorp.com> Subject: FW: Quality Alert Importance: High Amber, Sarah Per discussions with supply chain we have identified a field issue to which we need to alert the customers below. SO 028300 Job# 42993 ñ 8pcs Elbows University Technical Services shipped November /Dec 2017. SO 028074 Job# 42821 ñ 8pcs elbows Service Electric Supply ship date November 2017. Please advise how to proceed. Dave From: Melton, Christopher Sent: Tuesday, March 06, 2018 5:03 PM To: Matheney, David <david.matheney@pdicorp.com>; Payne, Tim <tim.payne@pdicorp.com> Cc: Denholm, Kyle <kyle.denholm@pdicorp.com>; Maxwell, Ryan <Ryan.Maxwell@pdicorp.com>; Para, Jim <Jim.Para@pdicorp.com> Subject: Quality Alert Team, We have a couple orders that have gone out with this particular bus that was tin plated. This is not to spec and from my understanding could be a risk in the field. We will need to swap out these pieces for the customer for silver plated material. BUS17598 - Tin plated SO 028300 Job# 42933 ñ 8pcs SO 028074 Job# 42821 ñ 8pcs Chris Melton Supply Chain Manager "
2863,STS monitor is out and needs to be replaced. 
2864,PCB08553 unresponsive 
2865,"red light on back of board is not lit 112-0055-36 (PDU D5) site Digital Realty 44274 Round Table Plaza Ashburn, VA 20147 "
2866,"values on display seem to be off. site IBM Cloud at QTS 6431 Longhorn Dr Irving, TX "
2867,"PDU 04Y-217 was found in alarm. Open SCR BAD. ñ This is the same unit that we reset with John Woods over the phone Saturday, it went back into alarm again Monday or Tuesday. site Citigroup 931 Litsey Rd Roanoke TX "
2868,units have known Rev B boards which are bad. need to be replaced. 
2869,"One breaker received damaged CKB57149 site Switch Pyramid 4200 60th Street SE Kenwood, MI 49512 "
2870,Customer requesting 30 TOB to be re-certified and returned. 
2871,Transformer failed onsite. Link to pictures https://powerdistcorp-my.sharepoint.com/:f:/g/personal/tommy_waugh_pdicorp_com/EoePZ_b4HzlMslWLodzbLNsBLC6Lhq7IuQkC3a7BDeb6EA?e=FOcDTE Notes from Tommy: As you may have already heard we had a XFMR failure at Sabey in Quincy. I was called around 415pm and arrived onsite by 5pm. I arrived to PDU tagged out and side covers removed. This unit has no rear access but I got a few pics for you to look at. 500KVA 98-90596-08 S/N T15-39-US-S-2338 XFMR S/N T15-41-4430 I just heard the unit is being removed and replaced with an onsite unit tomorrow so more pictures to come. Ill return this weekend for startup. On the surface it looks pretty similar to Microsoft failures. Thereís a blowout on the HV side close to the corner of B phase. I told the customer no RCA can be determined until the unit gets back to the factory. The PDU was lightly loaded to 75kw (according to onsite personnel). I did a PM there in May and the load was only like 25kW. I was not allowed to energize control power to download events but I should be able to work around it tomorrow with a power supply I have. 
2872,BCMS board bad 
2873,"display is not responding properly. the display is dead or unresponsive. The PDU is still active, but the cannot access the screen. site Sam Houston University 2223 Avenue J Huntsville, TX 77340 "
2874,"display with lines thru it. see picture 411-0355-1 site GE Digital Gov Hill DC 87 Governor Hill Dr Cincinnati, OH 45249 GE Dig Gov "
2875,T18-33-US-S-4362 breaker trips too early T17-23-US-S-3697 CT is faulty 
2876,"SAS Tx 2 alarm on PDU #1 452-0002 site Bank of the West 13505 Califronia St Omaha, NE 68154 "
2877,"The brackets we received are for right side, we needed left side "
2878,"Unit B18, transferring issue site AT&T 11830 Webb Chapel Rd Dallas, TX "
2879,"Issues and note from tech The STS has again transferred to Source 2 today, and will not go to source 1 unless you do a half bypass and try again. On Tuesday when I first got the service call in building 4 STS had transferred to Source 2 - Checked all connections of connectors and ribbons. Once I brought the Unit back online it held up. On Friday when I was called about the STS I placed unit on Maintenance Bypass and conducted the following: - On the Gate drive board, and DC board I checked, and reconnected connectors going to board of source 1. - Checked voltage of each phase all of them measured the same. - On molex connector of phase B of SCR. I saw some exposed wire coming out of molex connector and checked to make sure there was good connection. - Conducted a continuity check of Source 1 STS wire list diagram for connections. "
2880,"floor stands that customer received would not work. Even exchange of floor stands and will ship a different size site Parsons - U S Bank 24101 West Valley Pkwy Olathe, KS "
2881,"Comm issues BCMS board address 2&3 failure. Need a new board ordered. Site: TierPoint 1805 Center Park Drive Charlotte, NC 28217 Contact: Steve Fritts 980-333-9318 stephen.fritts@tierpoint.com "
2882,"two CT's on end feeds are broken and/or not working. site AT&T 4100 Bran St Dallas, TX 75204 "
2883,"LED light is out on ASTS-BH3, serial # 420-0060 site First National Bank 201 North 16th St. Omaha, NE 68197 "
2884,There was damage to 8-96500-34 while it was being moved. They were looking to send the transformer back to the PDI for testing and analysis. They want to know if it can be salvaged and how much it would cost to repair. 
2885,"Two CT strips had broken CT's CT broken during wiring site Instor - Jack Henry 816 Allen Commerce Pkwy Allen, TX 75013 "
2886,"Issue one: notes from tommy - Hello Mohammed, Iím in the field supporting commissioning on 20 Infinity PDUís. I have had some issues that Iíve worked through but there is a single issue that I need some help with. PDU S/N 112-0056-17 The display is communicating locally/remotely and all functions seem to work correctly with the exception of the LED directly below the touchscreen. I suspected that the micro SD card has some issue. I removed the control power and swapped the SD card with another unit, and the LED started working again. I put the original card back in the display. Iíd like to get your input on a possible cause and see if you could supply me with the correct files to store on the SD card. I have attached pics from the display and of our label. Issue two: notes from tommy - spread sheet attached Spent most of the day working at Serverfarm on the Infinity startups/commissioning. We have 26 issues assigned to us onsite that will require some sort of resolution to move forward. Iíve explained to them that the software issues is a priority for us and we have people on it, with some resolution soon. Total issues are 26 as I said with 10 related to these software glitches/resets, 1 is a fuse I need to replace (Iíll try to source locally), CT strip issues (may be software but they appear to be bad CTís), and we also had some breakers trip during load bank burn in today. The breakers tripping were likely due to high ambient temps in the room. Cooling has been locking up during burnins and the ambient got over 95deg during the two hour burn in. Surface temps on the breakers exceeded 120 deg F. We had 4 pduís that had tripped breakers. We reset and restarted burn in. After burnin we also let the room cool for 2 hrs and reloaded only those breakers to just under max capacity for 2 additional hours. No further tripping. We have a significant number of ct strips not registering currents. By my count we have tested 40 panel boards (10 pdus, so half of them) and I have missing currents on at least 12 CT strips. There may be more as I was rushing to get the testing done but also trying to get pics and notes. Iíll supply more detail on this tomorrow. I have also run an ISSUE report and formatted it for excel which I am attaching for your review. I only have two more days there before IST so issue resolution is gonna be difficult since we have about 10 more units to test. "
2887,"Note from customer: Team PDI: These pictures are from a Las Vegas NAP10 PDU. This is the second PDU that Switch has had flame out in this manner. Switch is requesting that the following things happen ASAP: 1.	 Send them (2) breaker bases, (1) breaker, (1) cable that goes from the A phase of CB2 up to the top hat, (1) cable that goes from the A phase of CB4 to the top hat. This parts compliment will allow them to rebuild this PDU and make it whole again. 2.	They have removed this melted breaker base and have it in a controlled setting complete with the burned cable still in its lug as shown in the pictures. They would like a call tag to send it back to the factory for a root cause analysis as to why it happened (again). 3.	We need to put together a ëspare parts kití for Switch that includes (3) breaker bases and (1) full set of cables from the bases to the top hat termination points so that they have it on hand for the inevitable next time that this happens. "
2888,unit getting out of phase alarms 
2889,New display in STS A3 would not communicate at all with customer interface. STS B2 stopped communicating with customer interface. Plugged laptop directly into the display and its not communicating at all. Both require new displays 
2890,Customer had board replaced recently and the board failed. 
2891,PCB11734 BCMS board not would not power up during commissioning. 
2892,"display in blank / non responsive T17-05-US-S-3378 site Argonne Lab 9700 Cass Road Lemont, IL 60439 "
2893,BCM board in unit C1D1 Serial # 442-00448-11A stop reporting; picture attached 
2894,"Troubleshoot two issues: 442-0059-2B ( PDU-L ) contractor board time out 442-0002-20B ( PDU-E3) SAS TX 3 alarm site Dell 701 E Parmer Rd Austin, TX "
2895,SAS Alarm on unit STS PDU 43-1H 
2896,customer received the optional type ìEî rating plug and should have received the standard type ìAî rating plug that comes on every breaker 
2897,"We have a broken load bank tap box here in the job trailer at CYS05. One of the sliders is broken, so it wonít make contact with the busway. I would like this gone as soon as possible, so let me know what needs to be done in order to get this process rolling. "
2898,Screen is showing black lines 
2899,"Two Infinity screens look faded and are very hard to read. They were installed a few months ago. customer would like them replaced site IBM Cloud (DFW12) c/o Digital Realty 907 Security Row Richardson, TX 75081 "
2900,monitor as a broken notch where the ribbon cable is attached 
2901,The test report indicates that the A Phase will not trip. 
2902,"STS is reported to be making a loud noise. need to inspect the unit. Possibly record the noise. Possible fan issue. serial # 411-0221 site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
2903,Startup of 42 JCOMMs 
2904,"set up components and start 24 JCOMMs site QTS 14100 Park Vista Blvd Fort Worth, TX 76177 "
2905,"BOARDS FOR SASTx FIX Staying open until all sas boards are replaced at Chandler, AZ site. "
2906,STS has sporadic S1 S2 SAS 1 unavailable alarms serial # 411-0124 
2907,"CT broke off of the CT strip site GE Digital Gov Hill 8700 Governor's Hills Dr Cincinnati, OH "
2908,"install SAS brackets, replace SAS board and do PM of all (4) STSs site CyrusOne 401 Kingsview Dr Lebanon, OH "
2909,Unit has switch and lock bad alarm 
2910,"PDU display is not working properly site Stream Garland, TX "
2911,The correct hanger was ordered on SO 30376 (PN: 13300051) but we shipped them the wrong part. 
2912,Monitor would not respond to touch 
2913,Damaged TOB From Roger: defective TOB that when we activate the CAMS one side connector doesnít work . Jeff believe there is one internal part that is broken .( see picture and serial # attached. ) Customer wants TOB repaired and shipped back. 
2914,Screen that was replaced in February for having lines in it has lines running through it. Will need to be replaced. 
2915,wrong spare parts kit sent 
2916,"During PMs and SAS Bracket Installations, two units that appear to have suddenly stopped communicating via canbus. We have timeouts on SAS, ROI, DCPS and Contractor. I did a bunch of testing and troubleshooting but finally resorted to changing out display. That solved the problem. Now we still have 1 unit needing a new display, will need display overnighted to Chandler site. "
2917,"The pulse board arc flashed during the board replacement due to an onsite issue found during the scheduled PM. STS20134-467 site CyrusOne 2905 Diehl Rd Aurora, IL "
2918,"the two SNMP cards inside the unit were programmed for KWH from the factory which is not what the customer requested. They needed the cards to be programmed to normal BCMS. We will need to replace the two cards since we cannot re-program them in the field. serial # 000000502-4418 site Servercentral 2200 Busse Rd Elk Grove Village, IL "
2919,a diode break off of the DCPS S1S2 bottom board 
2920,"Need 6 new CT strips. ""I had 6 CT Strips come back from Compark and 1 in Portland as not reading accurately. "" "
2921,"calibrate CTs on 32 end feeds that are reading twice the value. site AT&T 4100 Bran St Dallas, TX 75204 "
2922,"display has lines going thru it. Will need to replace display (and probably the SAS board) 442-0002-25B PDU-F5 SAS TX1 down 411-0087-2 ( PS3B PDU-E) 442-0027-2 (PS3B PDU-J) 442-0002-25 (PS3B PDU-F5) site Dell 701 E Parmer Rd Austin, TX "
2923,"display on 411-0148-2 (STS-050600CP2) will need to be replaced. site CyrusOne - West I 5150 Westway Blvd Data Houston, TX 77041 "
